,POSTE,MATERIAL,UTMx,UTMy,LATITUD,LONGITUD
0,PC001,CONCRETO,671975.175,2074910.035,,
1,PC002,CONCRETO,671940.1199,2074903.737,,
2,PC003,CONCRETO,671939.5176,2074854.363,,
3,PC004,CONCRETO,671900.533,2074851.129,,
4,PC005,CONCRETO,671864.7215,2074846.816,,
5,PC006,CONCRETO,671828.0787,2074841.167,,
6,PC007,CONCRETO,671771.6779,2074828.365,,
7,PC008,CONCRETO,671718.2301,2074815.479,,
8,PC009,CONCRETO,671681.9511,2074804.631,,
9,PC010,CONCRETO,671643.9962,2074792.551,,
10,PC011,CONCRETO,671609.6961,2074784.379,,
11,PC012,CONCRETO,671549.1292,2074765.894,,
12,PC013,CONCRETO,671444.7174,2074756.749,,
13,PC014,CONCRETO,671391.2634,2074779.174,,
14,PC015,CONCRETO,671328.1697,2074783.358,,
15,PC016,CONCRETO,671276.298,2074794.175,,
16,PC017,CONCRETO,671244.3027,2074799.196,,
17,PC018,CONCRETO,671693.4619,2074745.075,,
18,PC019,CONCRETO,671705.1655,2074699.024,,
19,PC020,CONCRETO,671697.621,2074647.706,,
20,PC021,CONCRETO,671661.2546,2074704.046,,
21,PC022,CONCRETO,671612.0426,2074712.23,,
22,PC023,CONCRETO,671576.4101,2074699.84,,
23,PC024,CONCRETO,671526.7113,2074657.434,,
24,PC025,CONCRETO,671501.3727,2074753.281,,
25,PC026,CONCRETO,671472.7335,2074817.995,,
26,PC027,CONCRETO,671508.824,2074710.955,,
27,PC028,CONCRETO,671508.7843,2074703.76,,
28,PC029,CONCRETO,671876.0838,2074792.018,,
29,PC030,CONCRETO,671874.3956,2074757.578,,
30,PC031,CONCRETO,671871.7919,2074719.476,,
31,PC032,CONCRETO,671870.3622,2074679.836,,
32,PC033,CONCRETO,671858.5376,2074612.318,,
33,PC034,CONCRETO,671801.0594,2074601.941,,
34,PC035,CONCRETO,671790.5339,2074507.647,,
35,PC036,CONCRETO,671826.4882,2074438.795,,
36,PC037,CONCRETO,671855.381,2074427.215,,
37,PC038,CONCRETO,671834.9715,2074399.024,,
38,PC039,CONCRETO,671799.0572,2074348.221,,
39,PC040,CONCRETO,671766.0079,2074306.963,,
40,PC041,CONCRETO,671790.2106,2074277.852,,
41,PC042,CONCRETO,671825.4529,2074240.761,,
42,PC043,CONCRETO,671836.9153,2074762.769,,
43,PC044,CONCRETO,671808.9324,2074767.162,,
44,PC045,CONCRETO,671789.4298,2074766.651,,
45,PC046,CONCRETO,671937.0355,2074745.422,,
46,PC047,CONCRETO,671987.1581,2074741.453,,
47,PC048,CONCRETO,672037.4672,2074728.631,,
48,PC049,CONCRETO,671920.4778,2074676.642,,
49,PC050,CONCRETO,671813.1571,2074685.733,,
50,PC051,CONCRETO,671855.7183,2074897.319,,
51,PC052,CONCRETO,671855.8899,2074936.173,,
52,PC053,CONCRETO,671854.6746,2074976.785,,
53,PC054,CONCRETO,671933.5416,2074965.774,,
54,PC055,CONCRETO,671903.5943,2075011.989,,
55,PC056,CONCRETO,671804.6878,2074896.852,,
56,PC057,CONCRETO,671751.3348,2074896.696,,
57,PC058,CONCRETO,671652.4786,2074902.765,,
58,PC059,CONCRETO,671610.6757,2074896.406,,
59,PC060,CONCRETO,671572.9639,2074915.432,,
60,PC061,CONCRETO,671589.0494,2074943.694,,
61,PC062,CONCRETO,671624.0277,2074969.915,,
62,PC063,CONCRETO,671660.18,2074994.597,,
63,PC064,CONCRETO,671745.9226,2074935.056,,
64,PC065,CONCRETO,671727.4256,2074986.025,,
65,PC066,CONCRETO,671976.9045,2074859.355,,
66,PC067,CONCRETO,672019.1333,2074865.276,,
67,PC068,CONCRETO,672062.8179,2074873.425,,
68,PC069,CONCRETO,672095.8636,2074880.369,,
69,PC070,CONCRETO,672132.1708,2074888.118,,
70,PC071,CONCRETO,672174.4714,2074897.693,,
71,PC072,CONCRETO,672219.857,2074904.308,,
72,PC073,CONCRETO,672254.909,2074910.939,,
73,PC074,CONCRETO,672302.8842,2074899.646,,
74,PC075,CONCRETO,672344.4056,2074833.281,,
75,PC076,CONCRETO,672368.569,2074808.487,,
76,PC077,CONCRETO,672010.2382,2074915.448,,
77,PC078,CONCRETO,672051.7085,2074923.576,,
78,PC079,CONCRETO,672089.8191,2074930.124,,
79,PC080,CONCRETO,672122.7492,2074938.174,,
80,PC081,CONCRETO,672118.7211,2074974.997,,
81,PC082,CONCRETO,672119.4091,2075014.963,,
82,PC083,CONCRETO,672241.7356,2074921.666,,
83,PC084,CONCRETO,672271.6298,2074961.788,,
84,PC085,CONCRETO,672295.0662,2074993.218,,
85,PC086,CONCRETO,672319.8752,2075024.439,,
86,PC087,CONCRETO,672325.0752,2075009.322,,
87,PC088,CONCRETO,672404.2486,2074953.486,,
88,PC089,CONCRETO,672439.7061,2074915.956,,
89,PC090,CONCRETO,672461.9874,2074912.397,,
90,PC091,CONCRETO,672471.1352,2074903.737,,
91,PC092,CONCRETO,672487.1426,2074882.963,,
92,PC093,CONCRETO,672467.0979,2074838.171,,
93,PC094,CONCRETO,672323.3302,2074854.783,,
94,PC095,CONCRETO,672279.134,2074764.497,,
95,PC096,CONCRETO,672270.9416,2074749.478,,
96,PC097,CONCRETO,672403.9992,2074773.944,,
97,PC098,CONCRETO,672436.5821,2074808.336,,
98,PC099,CONCRETO,672411.3886,2074646.719,,
99,PC100,CONCRETO,672389.55,2074647.957,,
100,PC101,CONCRETO,672355.8832,2074651.19,,
101,PC102,CONCRETO,672319.7844,2074655.176,,
102,PC103,CONCRETO,672283.4531,2074672.995,,
103,PC104,CONCRETO,672266.1214,2074642.729,,
104,PC105,CONCRETO,672266.8223,2074623.807,,
105,PC106,CONCRETO,672257.2798,2074583.539,,
106,PC107,CONCRETO,672245.227,2074541.034,,
107,PC108,CONCRETO,672232.3257,2074499.075,,
108,PC109,CONCRETO,672221.0828,2074460.23,,
109,PC110,CONCRETO,672252.8676,2074662.199,,
110,PC111,CONCRETO,672241.0725,2074695.077,,
111,PMN01,MADERA,671448.0384,2074889.607,,
112,PMN02,MADERA,671922.4649,2074989.36,,
113,PMN03,MADERA,672454.2248,2074747.287,,
114,PMN04,MADERA,672414.6129,2074674.531,,
115,PME01,MADERA,671672.6035,2074904.388,,
116,PAE01,ACERO,671896.5929,2074970.527,,
117,PAE02,ACERO,672439.2851,2074755.119,,
