('COLI01-FIBR-TINA-XC22478', 'COLIMA', 'COLIMA', 'TINAJAS', 'Felipe Perez Arceo', 'TEPAMES CENTRAL', 'ONU', 'XC220_G3V', 'FIBRA', '10.0.48.239', '19.042666', '-103.5835', '478', 'LON', 'LOL-0', '478-COLI01-TEPAMES CENTRAL-FIBR-XC220_G3V-Felipe Perez Arceo-COLI-478')
 41-COL-T.LAMARINA-VVU-AXIS-Q3708-PVE-F2-Fray Pedro-COL01-VVU-COLI-041,4,18.897432,-103.859236,COL01-VVU-TECO-021,10.21.40.156,TECOMAN
 47-COL-T.LAMARINA-VVU-AXIS-Q3708-PVE-F2-Recolavi Prados del Sur-COL01-VVU-COLI-047,5,19.27222846,-103.7826477,COL01-VVU-VILL-021,10.21.63.42,VILLA
 52-COL-T.LAMARINA-VVU-AXIS-Q3708-PVE-F2-Jardin San Fco-COL01-VVU-COLI-052,5,19.224948,-103.705759,COL01-VVU-COLI-022,10.21.62.24,COLIMA
 27-COL-T.SECRESEGPUBL-VVU-AXIS-Q3708-PVE-F2-Gta. Rey Coliman-COL01-VVU-COLI-027,5,19.117686,-104.331405,COL01-VVU-MANZ-022,10.21.30.22,MANZANILLO
 06-COM-T.CAMPO4-VVU-AXIS-Q3708-PVE-F1-Entrada a Suchitlan-COL01-VVU-COMA-006,4,18.908166,-103.866275,COL01-VVU-TECO-022,10.21.40.158,TECOMAN
 06-COM-T.CAMPO4-VVU-AXIS-Q3708-PVE-F2-Entrada a Suchitlan-COL01-VVU-COMA-006,4,19.25301,-103.739149,COL01-VVU-VILL-022,10.21.50.58,VILLA
 02-COM-T.COMALA-VVU-AXIS-Q3708-PVE-F1-Libramiento Norte a Suchitlan-COL01-VVU-COMA-02,5,19.23037,-103.70376,COL01-VVU-COLI-023,10.21.62.16,COLIMA
 10-COM-T.COMALA-VVU-AXIS-Q3708-PVE-F1-Jardin Comala-COL01-VVU-COMA-010,5,19.123585,-104.324865,COL01-VVU-MANZ-023,10.21.30.12,MANZANILLO
 12-COM-T.COMALA-VVU-AXIS-Q3708-PVE-F2-Salida a Suchitlan-COL01-VVU-COMA-012,5,19.250453,-103.743387,COL01-VVU-VILL-023,10.21.50.60,VILLA
 10-COQ-T.ALCOMUN-VVU-AXIS-Q3708-PVE-F2-Entrada a Pueblo Juarez-COL01-VVU-COQU-010,5,19.236131,-103.698164,COL01-VVU-COLI-024,10.21.62.34,COLIMA
24-MANZ-CENTRAL-T.TORO-RTM-S-FORCE_200-CENTRAL,5,19.145547,-104.44292,COL01-VVU-MANZ-024,10.21.37.35,MANZANILLO
 06-MZO-T.TORO-VVU-AXIS-Q3708-PVE-F2-SEMAFORO Santiago-COL01-VVU-MANZ-006,4,18.896294,-103.87952,COL01-VVU-TECO-024,10.21.41.25,TECOMAN
 07-MZO-T.TORO-VVU-AXIS-Q3708-PVE-F2-Abarrotes La Viuda Santiago-COL01-VVU-MANZ-07,4,19.25679739,-103.7535525,COL01-VVU-VILL-024,10.21.50.62,VILLA
 10-MZO-T.TORO-VVU-AXIS-Q3708-PVE-F1-Vista del Mar-COL01-VVU-MANZ-010,5,19.225762,-103.717294,COL01-VVU-COLI-025,10.21.62.20,COLIMA
 10-MZO-T.TORO-VVU-AXIS-Q3708-PVE-F2-Vista del Mar-COL01-VVU-MANZ-010,5,19.106247,-104.335494,COL01-VVU-MANZ-025,10.21.30.57,MANZANILLO
 12-MZO-T.TORO-VVU-AXIS-Q3708-PVE-F2-Valle Paraiso-COL01-VVU-MANZ-012,3,18.91373824,-103.8857994,COL01-VVU-TECO-025,10.21.41.11,TECOMAN
 14-MZO-T.TORO-VVU-AXIS-Q3708-PVE-F2-Gta Los Patos-COL01-VVU-MANZ-014,5,19.259465,-103.758578,COL01-VVU-VILL-025,10.21.50.64,VILLA
 19-MZO-T.TORREC4-VVU-AXIS-Q3708-PVE-F2-Gta La Audiencia-COL01-VVU-MANZ-010,5,19.212672,-103.721524,COL01-VVU-COLI-026,10.21.62.88,COLIMA
 26-MZO-T.TORREC4-VVU-AXIS-Q3708-PVE-F1-Waltmart-COL01-VVU-MANZ-026,5,19.104054,-104.332153,COL01-VVU-MANZ-026,10.21.30.63,MANZANILLO
 26-MZO-T.TORREC4-VVU-AXIS-Q3708-PVE-F2-Waltmart-COL01-VVU-MANZ-026,4,18.90033537,-103.8831606,COL01-VVU-TECO-026,10.21.41.29,TECOMAN
 30-MZO-T.PROTCIVIL-VVU-AXIS-Q3708-PVE-F2-Secundaria 1-COL01-VVU-MANZ-030,5,19.294729,-103.734031,COL01-VVU-VILL-026,10.21.63.52,VILLA
 32-MZO-T.POZONEPAL-VVU-AXIS-Q3708-PVE-F2-Restaurante Coalata-COL01-VVU-MANZ-032,5,19.230297,-103.72319,COL01-VVU-COLI-027,10.21.62.92,COLIMA
 41-MZO-T.PROTCIVIL-VVU-AXIS-Q3708-PVE-F2-Iglesia Barrio 3-COL01-VVU-MANZ-041,5,19.101877,-104.326707,COL01-VVU-MANZ-027,10.21.30.36,MANZANILLO
 43-MZO-T.PROTCIVIL-VVU-AXIS-Q3708-PVE-F2-Mercado del Valle-COL01-VVU-MANZ-043,4,18.90627477,-103.8779512,COL01-VVU-TECO-027,10.21.41.23,TECOMAN
 45-MZO-T.PROTCIVIL-VVU-AXIS-Q3708-PVE-F2-Primavera Pesquera-COL01-VVU-MANZ-045,5,19.2735,-103.752147,COL01-VVU-VILL-027,10.21.63.54,VILLA
 47-MZO-T.PROTCIVIL-VVU-AXIS-Q3708-PVE-F2-Calle Ballena-COL01-VVU-MANZ-047,5,19.234391,-103.714543,COL01-VVU-COLI-028,10.21.62.32,COLIMA
 49-MZO-T.PROTCIVIL-VVU-AXIS-Q3708-PVE-F2-Carretera Jalipa Algodones-COL01-VVU-MANZ-049,4,19.113866,-104.32357,COL01-VVU-MANZ-028,10.21.30.34,MANZANILLO
 51-MZO-T.PROTCIVIL-VVU-AXIS-Q3708-PVE-F2-Fletes Woodward-COL01-VVU-MANZ-051,3,18.90453919,-103.8893868,COL01-VVU-TECO-028,10.21.41.31,TECOMAN
 55-MZO-T.POZONEPAL-VVU-AXIS-Q3708-PVE-F1-Las Joyas-COL01-VVU-MANZ-055,5,19.284134,-103.736271,COL01-VVU-VILL-028,10.21.63.56,VILLA
 55-MZO-T.POZONEPAL-VVU-AXIS-Q3708-PVE-F2-Las Joyas-COL01-VVU-MANZ-055,5,19.237042,-103.712718,COL01-VVU-COLI-029,10.21.62.30,COLIMA
 57-MZO-T.POCITOS-VVU-AXIS-Q3708-PVE-F2-Triangulito MZO-COL01-VVU-MANZ-057,5,19.09512,-104.31945,COL01-VVU-MANZ-029,10.21.30.166,MANZANILLO
 59-MZO-T.POCITOS-VVU-AXIS-Q3708-PVE-F2-Presidencia Manzanillo-COL01-VVU-MANZ-059,4,18.901676,-103.890987,COL01-VVU-TECO-029,10.21.71.58,TECOMAN
 61-MZO-T.POCITOS-VVU-AXIS-Q3708-PVE-F2-Calle 9 Padre Hidalgo-COL01-VVU-MANZ-061,4,19.247663,-103.757225,COL01-VVU-VILL-029,10.21.50.72,VILLA
 63-MZO-T.CENTROSALUD-VVU-AXIS-Q3708-PVE-F2-Libramiento El Colomo-COL01-VVU-MANZ-063,5,19.236631,-103.706953,COL01-VVU-COLI-030,10.21.62.22,COLIMA
 65-MZO-T.CENTROSALUD-VVU-AXIS-Q3708-PVE-F2-Puente El Colomo-COL01-VVU-MANZ-065,5,19.090785,-104.314506,COL01-VVU-MANZ-030,10.21.30.174,MANZANILLO
 05-ARM-T.ARMERIA-VVU-AXIS-Q3708-PVE-F1-CECATI 126-COL01-VVU-ARME-005,5,19.261852,-103.763517,COL01-VVU-VILL-030,10.21.50.74,VILLA
 02-ARM-T.ARMERIA-VVU-AXIS-Q3708-PVE-F2-Arcos Armeria-COL01-VVU-ARME-002,5,19.24455696,-103.7120606,COL01-VVU-COLI-031,10.21.62.12,COLIMA
31-TECO-YAZAKI-T.SEMEFO-RTM-S-FORCE_190-YAZAKI,4,18.907888,-103.889785,COL01-VVU-TECO-031,10.21.41.19,TECOMAN
31-VILL-TEC. DE COLIMA-T.VDA -RTM-S-FORCE_190-TEC. DE COLIMA,5,19.262358,-103.725013,COL01-VVU-VILL-031,10.21.50.77,VILLA
32-COLI-TV AZTECA-T.LAMARINA-RTM-S-FORCE_190-TV AZTECA,5,19.23742654,-103.7180825,COL01-VVU-COLI-032,10.21.62.74,COLIMA
32-MANZ-RESTAURANTE COALATA-T.POZONEPAL-RTM-S-FORCE_190-RESTAURANTE COALATA,5,19.067067,-104.302138,COL01-VVU-MANZ-032,10.21.31.72,MANZANILLO
32-TECO-TORITO PILLIN-T.SEMEFO-RTM-S-FORCE_190-TORITO PILLIN,4,18.91020523,-103.8824184,COL01-VVU-TECO-032,10.21.41.17,TECOMAN
32-VILL-EX HACIENDA DEL CARMEN-T.VDA -RTM-S-FORCE_190-EX HACIENDA DEL CARMEN,5,19.281073,-103.72882,COL01-VVU-VILL-032,10.21.50.79,VILLA
33-COLI-GTA. CHAC-T.CUMBRE-RTM-S-FORCE_190-GTA. CHAC,5,19.2331,-103.721312,COL01-VVU-COLI-033,10.21.62.38,COLIMA
33-MANZ-GARZA Y FLAMINGOS-T.C4MANZ-RTM-S-FORCE_190-GARZA Y FLAMINGOS,5,19.107446,-104.325316,COL01-VVU-MANZ-033,10.21.30.45,MANZANILLO
33-TECO-INDEPENDENCIA Y ANDADOR 18-T.SEMEFO-RTM-S-FORCE_190-INDEPENDENCIA Y ANDADOR 18,3,18.92070017,-103.8718219,COL01-VVU-TECO-033,10.21.41.45,TECOMAN
33-VILL-ROSARIO IBARRA-T.VDA -RTM-S-FORCE_190-ROSARIO IBARRA,5,19.25945,-103.72641,COL01-VVU-VILL-033,10.21.50.81,VILLA
34-COLI-GTA. SANTANDER-T.SSP-RTM-S-FORCE_190-GTA. SANTANDER,5,19.234889,-103.723924,COL01-VVU-COLI-034,10.21.62.94,COLIMA
34-MANZ-VILLA S DEL MAR-T.C4MANZ-RTM-S-FORCE_190-VILLA S DEL MAR,4,19.110546,-104.316955,COL01-VVU-MANZ-034,10.21.30.28,MANZANILLO
34-TECO-MERCADO LAZARO CARDENAS-T.SEMEFO-RTM-S-FORCE_190-MERCADO LAZARO CARDENAS,3,18.91478389,-103.878958,COL01-VVU-TECO-034,10.21.41.35,TECOMAN
34-VILL-DIVISION COLIMA Y VDEA-T.VDA -RTM-S-FORCE_190-DIVISION COLIMA Y VDEA,5,19.256823,-103.731348,COL01-VVU-VILL-034,10.21.50.83,VILLA
35-COLI-IGNACIO SANDOVAL Y SAN FERNANDO-CANCEROLOGIA-T.C5-RTM-S-FORCE_190-IGNACIO SANDOVAL Y SAN FERNANDO-CANCEROLOGIA,5,19.24798599,-103.7167487,COL01-VVU-COLI-035,10.21.62.4,COLIMA
35-MANZ-AV. PELICANOS-T.C4MANZ-RTM-S-FORCE_190-AV. PELICANOS,5,19.107512,-104.317216,COL01-VVU-MANZ-035,10.21.30.47,MANZANILLO
35-TECO-PARQUE CUAUHTEMOC-T.SEMEFO-RTM-S-FORCE_190-PARQUE CUAUHTEMOC,3,18.91546795,-103.8824292,COL01-VVU-TECO-035,10.21.41.13,TECOMAN
35-VILL-ENTRADA SORIANA-T.VDA -RTM-S-FORCE_190-ENTRADA SORIANA,5,19.273676,-103.736704,COL01-VVU-VILL-035,10.21.50.85,VILLA
36-COLI-EL TREBOL-T.LAMARINA-RTM-S-FORCE_190-EL TREBOL,5,19.243288,-103.729078,COL01-VVU-COLI-036,10.21.62.60,COLIMA
36-MANZ-ST JOHNS-T.C4MANZ-RTM-S-FORCE_190-ST JOHNS,5,19.105039,-104.318734,COL01-VVU-MANZ-036,10.21.30.43,MANZANILLO
36-TECO-KIOSKO PALMA REAL-T.SEMEFO-RTM-S-FORCE_190-KIOSKO PALMA REAL,4,18.9230324,-103.8894174,COL01-VVU-TECO-036,10.21.41.15,TECOMAN
37-COLI-JARDIN NUNEZ-T.LAMARINA-RTM-S-FORCE_190-JARDIN NUNEZ,5,19.239032,-103.724603,COL01-VVU-COLI-037,10.21.62.78,COLIMA
37-MANZ-ELIAS ZAMORA Y GAVIOTAS-T.C4MANZ-RTM-S-FORCE_190-ELIAS ZAMORA Y GAVIOTAS,5,19.107128,-104.312951,COL01-VVU-MANZ-037,10.21.30.49,MANZANILLO
37-TECO-PARQUE PALMA REAL 2-T.SEMEFO-RTM-S-FORCE_190-PARQUE PALMA REAL 2,4,18.9250662,-103.8971762,COL01-VVU-TECO-037,10.21.41.33,TECOMAN
37-VILL-GTA. PERRITOS-T.VDA -RTM-S-FORCE_190-GTA. PERRITOS,5,19.283737,-103.744195,COL01-VVU-VILL-037,10.21.63.74,VILLA
38-COLI-DIABLITO-T.LAMARINA-RTM-S-FORCE_190-DIABLITO,5,19.24224,-103.726288,COL01-VVU-COLI-038,10.21.62.64,COLIMA
38-MANZ-ENTRONQUE BARRIO 5-T.C4MANZ-RTM-S-FORCE_190-ENTRONQUE BARRIO 5,5,19.111019,-104.307619,COL01-VVU-MANZ-038,10.21.30.30,MANZANILLO
38-TECO-JARDIN MADRID-T.IXTLAHUACAN-RTM-S-FORCE_200-JARDIN MADRID,5,19.08412205,-103.8735941,COL01-VVU-TECO-038,10.21.90.20,TECOMAN
38-VILL-CLINICA 1 IMSS-T.VDA -RTM-S-FORCE_190-CLINICA 1 IMSS,5,19.270064,-103.75908,COL01-VVU-VILL-038,10.21.63.76,VILLA
39-COLI-PAPELERIA MANZANILLO-T.LAMARINA-RTM-S-FORCE_190-PAPELERIA MANZANILLO,5,19.24068293,-103.724165,COL01-VVU-COLI-039,10.21.62.68,COLIMA
39-MANZ-CARCAMO Y BARRIO 3-T.C4MANZ-RTM-S-FORCE_190-CARCAMO Y BARRIO 3,5,19.10227027,-104.3072066,COL01-VVU-MANZ-039,10.21.30.70,MANZANILLO
39-VILL-PARQUE INDUSTRIAL-T.VDA -RTM-S-FORCE_190-PARQUE INDUSTRIAL,4,19.238426,-103.76186,COL01-VVU-VILL-039,10.21.50.93,VILLA
40-COLI-V. CARRANZA Y TECNOLOGICO-T.LAMARINA-RTM-S-FORCE_190-V. CARRANZA Y TECNOLOGICO,5,19.104723,-104.304269,COL01-VVU-MANZ-040,10.21.62.50,COLIMA
40-VILL-SALIDA AL CHIVATO-T.VDA -RTM-S-FORCE_190-SALIDA AL CHIVATO,5,19.263695,-103.734537,COL01-VVU-VILL-040,10.21.50.95,VILLA
41-COLI-FRAY PEDRO-T.LAMARINA-RTM-S-FORCE_190-FRAY PEDRO,5,19.23526,-103.731404,COL01-VVU-COLI-041,10.21.62.56,COLIMA
41-VILL-DIANA CAZADORA-T.VDA -RTM-S-FORCE_190-DIANA CAZADORA,4,19.254089,-103.744653,COL01-VVU-VILL-041,10.21.63.82,VILLA
42-COLI-QUINTA EL TIVOLI-T.LAMARINA-RTM-S-FORCE_180-QUINTA EL TIVOLI,5,19.226066,-103.734126,COL01-VVU-COLI-042,10.21.62.62,COLIMA
42-TECO-CERRO DE ORTEGA SALIDA-T.PRIMAVERA-RTM-S-FORCE_190-CERRO DE ORTEGA SALIDA,4,18.747945,-103.714135,COL01-VVU-TECO-042,10.21.40.15,TECOMAN
42-VILL-LA LECHERA-T.VDA -RTM-S-FORCE_200-LA LECHERA,5,19.244094,-103.74839,COL01-VVU-VILL-042,10.21.50.99,VILLA
43-COLI-ENTRADA CANCEROLOGIA-TIVOLI-T.LAMARINA-RTM-S-FORCE_190-ENTRADA CANCEROLOGIA-TIVOLI,5,19.222288,-103.733251,COL01-VVU-COLI-043,10.21.62.46,COLIMA
43-MANZ-MERCADO DEL VALLE-T.PC-RTM-S-FORCE_190-MERCADO DEL VALLE,5,19.09492,-104.302675,COL01-VVU-MANZ-043,10.21.30.164,MANZANILLO
43-VILL-TORITO-T.VDA -RTM-S-FORCE_190-TORITO,5,19.226695,-103.7409,COL01-VVU-COLI-044,10.21.50.101,VILLA
44-VILL-JARDIN VILLA IZCALLI-T.VDA -RTM-S-FORCE_190-JARDIN VILLA IZCALLI,5,19.287638,-103.734533,COL01-VVU-VILL-044,10.21.50.103,VILLA
45-VILL-DIOSA DEL AGUA-T.VDA -RTM-S-FORCE_190-DIOSA DEL AGUA,5,19.273581,-103.739534,COL01-VVU-VILL-045,10.21.50.105,VILLA
46-COLI-PEMEX-T.CUMBRE-RTM-S-FORCE_190-PEMEX,5,19.2349829,-103.7671519,COL01-VVU-COLI-046,10.21.62.86,COLIMA
46-MANZ-CASA HOGAR LIBORIO ESPINOZA-T.PC-RTM-S-FORCE_180-CASA HOGAR LIBORIO ESPINOZA,5,19.09238911,-104.2912373,COL01-VVU-MANZ-046,10.21.30.138,MANZANILLO
46-VILL-EL ANGEL-T.VDA -RTM-S-FORCE_190-EL ANGEL,5,19.270758,-103.747466,COL01-VVU-VILL-046,10.21.63.92,VILLA
47-COLI-RECOLAVI Y PRADOS DEL SUR-T.LAMARINA-RTM-S-FORCE_190-RECOLAVI Y PRADOS DEL SUR,5,19.23416,-103.752109,COL01-VVU-COLI-047,10.21.62.42,COLIMA
47-VILL-LOS VOLCANES-T.VDA -RTM-S-FORCE_190-LOS VOLCANES,5,19.28367766,-103.7798852,COL01-VVU-VILL-047,10.21.50.118,VILLA
48-COLI-ALBARRADA Y ENTRADA DIF-T.LAMARINA-RTM-S-FORCE_190-ALBARRADA Y ENTRADA DIF,5,19.23666223,-103.7429737,COL01-VVU-COLI-048,10.21.62.66,COLIMA
49-COLI-ANASTACIO BRIZUELA Y SOSTENES ROCHA-T.LAMARINA-RTM-S-FORCE_190-ANASTACIO BRIZUELA Y SOSTENES ROCHA,5,19.239827,-103.7386676,COL01-VVU-COLI-049,10.21.62.70,COLIMA
50-COLI-SAMS CLUB COLIMA-T.LAMARINA-RTM-S-FORCE_190-SAMS CLUB COLIMA,5,19.243921,-103.736111,COL01-VVU-COLI-050,10.21.62.72,COLIMA
51-COLI-OXXO 5 DE MAYO-T.LAMARINA-RTM-S-FORCE_190-OXXO 5 DE MAYO,5,19.24869409,-103.7332102,COL01-VVU-COLI-051,10.21.62.52,COLIMA
52-COLI-JARDIN SAN FCO.-T.LAMARINA-RTM-S-FORCE_190-JARDIN SAN FCO.,5,19.253718,-103.730195,COL01-VVU-COLI-052,10.21.62.48,COLIMA
53-COLI-ISENCO-T.LAMARINA-RTM-S-FORCE_190-ISENCO,4,19.25414948,-103.725105,COL01-VVU-COLI-053,10.21.62.54,COLIMA
54-COLI-PLAZA SAN FERNANDO-T.LAMARINA-RTM-S-FORCE_190-PLAZA SAN FERNANDO,5,19.2511818,-103.7211794,COL01-VVU-COLI-054,10.21.62.76,COLIMA
54-MANZ-LA FLECLITA-T.POZONEPAL-RTM-S-FORCE_190-LA FLECLITA,5,19.062792,-104.289897,COL01-VVU-MANZ-054,10.21.31.74,MANZANILLO
55-COLI-LIBRAMENTO CENTRAL-T.COM-SEG-RTM-S-FORCE_190-LIBRAMENTO CENTRAL,5,19.23560862,-103.703297,COL01-VVU-COLI-055,10.21.62.40,COLIMA
55-MANZ-LAS JOYAS-T.POZONEPAL-RTM-S-FORCE_190-LAS JOYAS,5,19.05644,-104.293519,COL01-VVU-MANZ-055,10.21.31.76,MANZANILLO
58-MANZ-BIBLIOTECA-T.POCITOS-RTM-S-FORCE_190-BIBLIOTECA,5,19.053286,-104.31388,COL01-VVU-MANZ-058,10.21.31.107,MANZANILLO
59-MANZ-PRESIDENCIA MANZANILLO-T.POCITOS-RTM-S-FORCE_190-PRESIDENCIA MANZANILLO,5,19.053924,-104.316158,COL01-VVU-MANZ-059,10.21.31.118,MANZANILLO
60-MANZ-SEMAFORO SANTIAGO-T.POCITOS-RTM-S-FORCE_190-SEMAFORO SANTIAGO,5,19.048924,-104.318866,COL01-VVU-MANZ-060,10.21.31.114,MANZANILLO
62-MANZ-CENTRO DE SALUD EL COLOMO-T.CENTRODESALUD-RTM-S-FORCE_190-CENTRO DE SALUD EL COLOMO,5,19.055749,-104.241874,COL01-VVU-MANZ-062,10.21.31.172,MANZANILLO
63-MANZ-LIBRAMIENTO EL COLOMO-T.CENTRODESALUD-RTM-S-FORCE_190-LIBRAMIENTO EL COLOMO,5,19.049337,-104.223426,COL01-VVU-MANZ-063,10.21.31.174,MANZANILLO
64-MANZ-EL COLOMO-T.CENTRODESALUD-RTM-S-FORCE_190-EL COLOMO,5,19.060591,-104.259918,COL01-VVU-MANZ-064,10.21.31.170,MANZANILLO
65-MANZ-PUENTE EL COLOMO-T.CENTRODESALUD-RTM-S-FORCE_190-PUENTE EL COLOMO,5,19.051328,-104.268144,COL01-VVU-MANZ-065,10.21.31.168,MANZANILLO
01-ARME-T.ARMERIA-VVU-AXIS-Q6155-E-PTZ-ENTRADA ARMERIA AUTOPISTA-COL01-VVU-ARME-001,3,18.92974557,-103.9638611,COL01-VVU-ARME-001,10.21.145.2,ARMERIA
01-COLI-T.COMPADMIN-VVU-AXIS-Q6155-E-PTZ-ESMERALDA NORTE-COL01-VVU-COLI-001,3,19.277977,-103.710225,COL01-VVU-COLI-001,10.21.141.65,COLIMA
01-COMA-T.COMALA-VVU-AXIS-Q6155-E-PTZ-GASOLINERA ENTRADA A COMALA-COL01-VVU-COMA-001,3,19.319392,-103.75969,COL01-VVU-COMA-001,10.21.160.2,COMALA
01-COQU-T.COQUIMATLAN-VVU-AXIS-Q6155-E-PTZ-COLONIA SAN MIGUEL-COL01-VVU-COQU-001,3,19.211881,-103.809066,COL01-VVU-COQU-001,10.21.143.176,COQUIMATLAN
01-CUAU-T.MONTITLAN-VVU-AXIS-Q6155-E-PTZ-EL COBANO-COL01-VVU-CUAU-001,3,19.30268135,-103.6450818,COL01-VVU-CUAU-001,10.21.141.2,CUAUHTEMOC
01-IXTL-T.ALCOMUN-VVU-AXIS-Q6155-E-PTZ-ARCOS IXTLAHUACAN-COL01-VVU-IXTL-001,3,18.99994889,-103.7416616,COL01-VVU-IXTL-001,10.21.168.20,IXTLAHUACAN
01-MANZ-T.TORO-VVU-AXIS-Q6155-E-PTZ-UNIVERSIDAD ECA-COL01-VVU-MANZ-001,3,19.1253378,-104.40181,COL01-VVU-MANZ-001,10.21.117.29,MANZANILLO
01-MINA-T.MINA-VVU-AXIS-Q6155-E-PTZ-EL POBLADO MINATITLAN-COL01-VVU-MINA-001,3,19.36150471,-104.0913475,COL01-VVU-MINA-001,10.21.155.11,MINATITLAN
01-TECO-T.TORREPRIMAVERA-VVU-AXIS-Q6155-E-PTZ-CERRO DE ORTEGA CENTRO-COL01-VVU-TECO-001,2,18.75051925,-103.7196855,COL01-VVU-TECO-001,10.21.120.5,TECOMAN
01-VILL-T.VDA-VVU-AXIS-Q3708-PVE-PTZ-CRUCERO CFE-COL01-VVU-VILL-001,3,19.240572,-103.756665,COL01-VVU-VILL-001,10.21.143.2,VILLA
02-ARME-T.ARMERIA-VVU-AXIS-Q6155-E-PTZ-ARCOS ARMERIA-COL01-VVU-ARME-002,3,18.93568891,-103.9647168,COL01-VVU-ARME-002,10.21.145.5,ARMERIA
02-COLI-T.COMPADMIN-VVU-AXIS-Q6155-E-PTZ-TERCER ANILLO V CARRANZA-COL01-VVU-COLI-002,3,19.274148,-103.715164,COL01-VVU-COLI-002,10.21.141.62,COLIMA
02-COMA-T.COMALA-VVU-AXIS-Q6155-E-PTZ-LIBRAMIENTO NORTE A SUCHITLAN-COL01-VVU-COMA-002,3,19.343956,-103.741259,COL01-VVU-COMA-002,10.21.160.5,COMALA
02-COQU-T.COQUIMATLAN-VVU-AXIS-Q6155-E-PTZ-ANTIGUA ESTACION DEL TREN-COL01-VVU-COQU-002,3,19.206011,-103.807459,COL01-VVU-COQU-002,10.21.143.179,COQUIMATLAN
02-CUAU-T.MONTITLAN-VVU-AXIS-Q6155-E-PTZ-ENTRADA A CHIAPA-COL01-VVU-CUAU-002,3,19.33118475,-103.65128,COL01-VVU-CUAU-002,10.21.141.5,CUAUHTEMOC
02-IXTL-T.ALCOMUN-VVU-AXIS-Q6155-E-PTZ-SALIDA A PLAN DE ZAPOTE-COL01-VVU-IXTL-002,3,18.99203677,-103.7349281,COL01-VVU-IXTL-002,10.21.168.23,IXTLAHUACAN
02-MANZ-T.TORO-VVU-AXIS-Q6155-E-PTZ-CRUCERO CLUB SANTIAGO-COL01-VVU-MANZ-002,3,19.1211478,-104.39168,COL01-VVU-MANZ-002,10.21.117.32,MANZANILLO
02-MINA-T.CARB-VVU-AXIS-Q6155-E-PTZ-JARDIN PATICAJO-COL01-VVU-MINA-002,2,19.30025556,-104.1523917,COL01-VVU-MINA-002,10.21.150.5,MINATITLAN
02-TECO-T.TORREPRIMAVERA-VVU-AXIS-Q6155-E-PTZ-CERRO DE ORTEGA-COL01-VVU-TECO-002,2,18.756102,-103.724521,COL01-VVU-TECO-002,10.21.120.2,TECOMAN
02-VILL-T.LAMARINA-VVU-AXIS-Q6155-E-PTZ-PRESIDENCIA DE VILL-COL01-VVU-VILL-002,3,19.26487453,-103.736608,COL01-VVU-VILL-002,10.21.142.122,VILLA
03-ARME-T.ARMERIA-VVU-AXIS-Q6155-E-PTZ-JARDIN ARMERIA-COL01-VVU-ARME-003,3,18.93759167,-103.9648667,COL01-VVU-ARME-003,10.21.145.9,ARMERIA
03-COLI-T.LAMARINA-VVU-AXIS-Q6155-E-PTZ-GASOLINERA CORTEZ-COL01-VVU-COLI-003,3,19.208798,-103.741609,COL01-VVU-COLI-003,10.21.142.119,COLIMA
03-COMA-T.COMALA-VVU-AXIS-Q6155-E-PTZ-SALIDA A LA CAJA-COL01-VVU-COMA-003,3,19.331932,-103.764605,COL01-VVU-COMA-003,10.21.160.8,COMALA
03-COQU-T.COQUIMATLAN-VVU-AXIS-Q6155-E-PTZ-SALIDA A JALA-COL01-VVU-COQU-003,3,19.19722,-103.812149,COL01-VVU-COQU-003,10.21.143.182,COQUIMATLAN
03-CUAU-T.PCCUAU-VVU-AXIS-Q6155-E-PTZ-CRUCERO AL AEROPUERTO-COL01-VVU-CUAU-003,3,19.31153,-103.60366,COL01-VVU-CUAU-003,10.21.141.8,CUAUHTEMOC
