('COLI01-FIBR-TINA-XC22478', 'COLIMA', 'COLIMA', 'TINAJAS', 'Felipe Perez Arceo', 'TEPAMES CENTRAL', 'ONU', 'XC220_G3V', 'FIBRA', '10.0.48.239', '19.042666', '-103.5835', '478', 'LON', 'LOL-0', '478-COLI01-TEPAMES CENTRAL-FIBR-XC220_G3V-Felipe Perez Arceo-COLI-478')
03-IXTL-T.ALCOMUN-VVU-AXIS-Q6155-E-PTZ-CRUCERO TAMALA-COL01-VVU-IXTL-003,3,19.006786,-103.756819,COL01-VVU-IXTL-003,10.21.168.26,IXTLAHUACAN
03-MANZ-T.TORO-VVU-AXIS-Q6155-E-PTZ-OLAS ALTAS-COL01-VVU-MANZ-003,3,19.119526,-104.367229,COL01-VVU-MANZ-003,10.21.117.11,MANZANILLO
03-MINA-T.CARB-VVU-AXIS-Q6155-E-PTZ-SALIDA A LAS GUASIMAS-COL01-VVU-MINA-003,3,19.38345006,-104.0518446,COL01-VVU-MINA-003,10.21.155.42,MINATITLAN
03-TECO-T.TORREPRIMAVERA-VVU-AXIS-Q6155-E-PTZ-COFRADIA DE MORELOS-COL01-VVU-TECO-003,2,18.86715809,-103.8357521,COL01-VVU-TECO-003,10.21.120.23,TECOMAN
03-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-5 DE MAYO CUAUHTEMOC-COL01-VVU-VILL-003,3,19.266378,-103.730215,COL01-VVU-VILL-003,10.21.130.8,VILLA
04-ARME-T.ARMERIA-VVU-AXIS-Q6155-E-PTZ-CAPILLA CRISTO REY-COL01-VVU-ARME-004,3,18.93991944,-103.9631278,COL01-VVU-ARME-004,10.21.145.12,ARMERIA
04-COLI-T.LAMARINA-VVU-AXIS-Q6155-E-PTZ-V CARRANZA TECNOLOGICO-COL01-VVU-COLI-004,3,19.257988,-103.719248,COL01-VVU-COLI-004,10.21.142.86,COLIMA
04-COMA-T.CAMPO4-VVU-AXIS-Q6155-E-PTZ-COFRADIA DE SUCHITLAN-COL01-VVU-COMA-004,3,19.40927121,-103.6964697,COL01-VVU-COMA-004,10.21.160.11,COMALA
04-COQU-T.COQUIMATLAN-VVU-AXIS-Q6155-E-PTZ-SALIDA A PUEBLO JUAREZ-COL01-VVU-COQU-004,3,19.19896,-103.813407,COL01-VVU-COQU-004,10.21.143.185,COQUIMATLAN
04-CUAU-T.QUESERIA-VVU-AXIS-Q6155-E-PTZ-CAMPO FUTBOL ALZADA-COL01-VVU-CUAU-004,2,19.261151,-103.527542,COL01-VVU-CUAU-004,10.21.141.11,CUAUHTEMOC
04-IXTL-T.ALCOMUN-VVU-AXIS-Q6155-E-PTZ-JARDIN IXTLAHUACAN-COL01-VVU-IXTL-004,3,19.00105126,-103.738014,COL01-VVU-IXTL-004,10.21.168.29,IXTLAHUACAN
04-MANZ-T.TORO-VVU-AXIS-Q6155-E-PTZ-CENTRO DE SALUD SANTIAGO-COL01-VVU-MANZ-004,3,19.11959803,-104.3549921,COL01-VVU-MANZ-004,10.21.117.17,MANZANILLO
04-TECO-T.TORRESEMEFO-VVU-AXIS-Q3708-PVE-PTZ-18 DE JULIO RIO NARANJO-COL01-VVU-TECO-004,3,18.90424678,-103.8728925,COL01-VVU-TECO-004,10.21.121.50,TECOMAN
04-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-SALIDA AL CHIVATO-COL01-VVU-VILL-004,3,19.286622,-103.726342,COL01-VVU-VILL-004,10.21.143.11,VILLA
05-ARME-T.ARMERIA-VVU-AXIS-Q6155-E-PTZ-CECATI 126-COL01-VVU-ARME-005,3,18.939225,-103.9695778,COL01-VVU-ARME-005,10.21.145.14,ARMERIA
05-COLI-T.C5-VVU-AXIS-Q6155-E-PTZ-SAMS CLUB COLIMA-COL01-VVU-COLI-005,3,19.256378,-103.716807,COL01-VVU-COLI-005,10.21.142.11,COLIMA
05-COMA-T.COMALA-VVU-AXIS-Q6155-E-PTZ-TELEGRAFOS-COL01-VVU-COMA-005,3,19.322339,-103.761591,COL01-VVU-COMA-005,10.21.160.14,COMALA
05-COQU-T.COQUIMATLAN-VVU-AXIS-Q6155-E-PTZ-JARDIN COQUIMATLAN-COL01-VVU-COQU-005,3,19.20105345,-103.8107151,COL01-VVU-COQU-005,10.21.143.188,COQUIMATLAN
05-CUAU-T.QUESERIA-VVU-AXIS-Q6155-E-PTZ-ENTRADA AL PANTEON QUESERIA-COL01-VVU-CUAU-005,3,193.865478,-103.56772,COL01-VVU-CUAU-005,10.21.141.14,CUAUHTEMOC
05-IXTL-T.ALCOMUN-VVU-AXIS-Q6155-E-PTZ-SALIDA A LA PRESA-COL01-VVU-IXTL-005,3,19.00098001,-103.7334358,COL01-VVU-IXTL-005,10.21.166.26,IXTLAHUACAN
05-MANZ-T.TORREC4-VVU-AXIS-Q6155-E-PTZ-KIOSKO ALLENDE-COL01-VVU-MANZ-005,3,19.12253346,-104.3525729,COL01-VVU-MANZ-005,10.21.110.20,MANZANILLO
05-MINA-T.MINA-VVU-AXIS-Q6155-E-PTZ-SALIDA AL PANTEON MINATITLAN-COL01-VVU-MINA-005,3,19.394005,-104.046194,COL01-VVU-MINA-005,10.21.155.14,MINATITLAN
05-TECO-T.TORRESEMEFO-VVU-AXIS-Q6155-E-PTZ-PRESIDENCIA TECOMAN-COL01-VVU-TECO-005,3,18.91012836,-103.8726953,COL01-VVU-TECO-005,10.21.121.47,TECOMAN
05-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-AKOLIMAN CERRO DEL ALCOMUN-COL01-VVU-VILL-005,3,19.29517749,-103.7315701,COL01-VVU-VILL-005,10.21.143.14,VILLA
06-ARME-T.ARMERIA-VVU-AXIS-Q6155-E-PTZ-SALIDA A CUYUTLAN-COL01-VVU-ARME-006,3,18.93460546,-103.973271,COL01-VVU-ARME-006,10.21.145.23,ARMERIA
06-COLI-T.C5-VVU-AXIS-Q6155-E-PTZ-PARQUE ROYAL-COL01-VVU-COLI-006,3,19.263139,-103.711589,COL01-VVU-COLI-006,10.21.142.8,COLIMA
06-COMA-T.CAMPO4-VVU-AXIS-Q6155-E-PTZ-ENTRADA A SUCHITLAN-COL01-VVU-COMA-006,3,19.37629,-103.717264,COL01-VVU-COMA-006,10.21.160.17,COMALA
06-COQU-T.COQUIMATLAN-VVU-AXIS-Q6155-E-PTZ-ENTRADA A COQUIMATLAN-COL01-VVU-COQU-006,3,19.212555,-103.805648,COL01-VVU-COQU-006,10.21.143.191,COQUIMATLAN
06-CUAU-T.MONTITLAN-VVU-AXIS-Q6155-E-PTZ-CARR. CHIAPA. OCOTILLO-COL01-VVU-CUAU-006,3,19.334494,-103.664837,COL01-VVU-CUAU-006,10.21.141.17,CUAUHTEMOC
06-IXTL-T.ALCOMUN-VVU-AXIS-Q6155-E-PTZ-SALIDA A ZINACAMITLAN-COL01-VVU-IXTL-006,3,18.99811,-103.733981,COL01-VVU-IXTL-006,10.21.166.29,IXTLAHUACAN
06-MANZ-T.TORO-VVU-AXIS-Q6155-E-PTZ-SEMAFORO SANTIAGO-COL01-VVU-MANZ-006,3,19.117377,-104.353023,COL01-VVU-MANZ-006,10.21.117.15,MANZANILLO
06-MINA-T.MINA-VVU-AXIS-Q6155-E-PTZ-ENTRADA A MINATITLAN-COL01-VVU-MINA-006,3,19.388409,-104.061338,COL01-VVU-MINA-006,10.21.155.17,MINATITLAN
06-TECO-T.TORRETECOC2-VVU-AXIS-Q6155-E-PTZ-ANDADOR LOPEZ MATEOS-COL01-VVU-TECO-006,3,18.910814,-103.873418,COL01-VVU-TECO-006,10.21.120.157,TECOMAN
06-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-CAMPO DEP DRAGONES-COL01-VVU-VILL-006,3,19.258315,-103.7472,COL01-VVU-VILL-006,10.21.130.17,VILLA
07-ARME-T.ALCOMUN-VVU-AXIS-Q6155-E-PTZ-CRUCERO PERIQUILLOS-COL01-VVU-ARME-007,2,18.94994454,-103.94689,COL01-VVU-ARME-007,10.21.166.17,ARMERIA
07-COLI-T.C5-VVU-AXIS-Q6155-E-PTZ-LA MEDUSA-COL01-VVU-COLI-007,3,19.26241612,-103.7045698,COL01-VVU-COLI-007,10.21.142.2,COLIMA
07-COMA-T.CAMPO4-VVU-AXIS-Q6155-E-PTZ-CRUCERO CARRIZALILLOS-COL01-VVU-COMA-007,3,19.42689787,-103.6992929,COL01-VVU-COMA-007,10.21.160.23,COMALA
07-COQU-T.COQUIMATLAN-VVU-AXIS-Q6155-E-PTZ-CRUCERO DEL CHICAL-COL01-VVU-COQU-007,3,19.22314741,-103.7973401,COL01-VVU-COQU-007,10.21.143.194,COQUIMATLAN
07-CUAU-T.QUESERIA-VVU-AXIS-Q6155-E-PTZ-CRUCERO MONTILTAN-COL01-VVU-CUAU-007,3,19.390067,-103.583945,COL01-VVU-CUAU-007,10.21.141.20,CUAUHTEMOC
07-IXTL-T.ALCOMUN-VVU-AXIS-Q6155-E-PTZ-ENTRADA A LA PRESA-COL01-VVU-IXTL-007,3,19.005184,-103.735609,COL01-VVU-IXTL-007,10.21.168.38,IXTLAHUACAN
07-MANZ-T.TORO-VVU-AXIS-Q6155-E-PTZ-ABARROTES LA VIUDA SANTIAGO-COL01-VVU-MANZ-007,3,19.120648,-104.350431,COL01-VVU-MANZ-007,10.21.117.26,MANZANILLO
07-MINA-T.MINA-VVU-AXIS-Q6155-E-PTZ-PALENQUE DE GALLOS MINATITLAN-COL01-VVU-MINA-007,3,19.391137,-104.049039,COL01-VVU-MINA-007,10.21.155.20,MINATITLAN
07-TECO-T.TORRETECOC2-VVU-AXIS-Q6155-E-PTZ-EL LIMONERO-COL01-VVU-TECO-007,3,18.93980809,-103.8945509,COL01-VVU-TECO-007,10.21.151.11,TECOMAN
07-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-GASOLINERA ESCUELA DE TALENTOS-COL01-VVU-VILL-007,3,19.244713,-103.758133,COL01-VVU-VILL-007,10.21.130.20,VILLA
08-ARME-T.ALCOMUN-VVU-AXIS-Q6155-E-PTZ-SALIDA RINCON DE LOPEZ-COL01-VVU-ARME-008,2,18.96410899,-103.9534115,COL01-VVU-ARME-008,10.21.168.11,ARMERIA
08-COLI-T.C5-VVU-AXIS-Q6155-E-PTZ-STARBUCKS-COL01-VVU-COLI-008,3,19.253018,-103.712652,COL01-VVU-COLI-008,10.21.142.20,COLIMA
08-COMA-T.COMALA-VVU-AXIS-Q6155-E-PTZ-ENTRADA A ZACUALPAN-COL01-VVU-COMA-008,3,19.36344233,-103.8222651,COL01-VVU-COMA-008,10.21.160.20,COMALA
08-COQU-T.COQUIMATLAN-VVU-AXIS-Q6155-E-PTZ-PLAZA DEL VALLE-COL01-VVU-COQU-008,3,19.21462,-103.809169,COL01-VVU-COQU-008,10.21.143.197,COQUIMATLAN
08-CUAU-T.MONTITLAN-VVU-AXIS-Q6155-E-PTZ-JARDIN  QUESERIA-COL01-VVU-CUAU-008,3,19.38675264,-103.5731949,COL01-VVU-CUAU-008,10.21.141.23,CUAUHTEMOC
08-MANZ-T.TORO-VVU-AXIS-Q6155-E-PTZ-BASE 23-COL01-VVU-MANZ-008,3,19.13044466,-104.3482119,COL01-VVU-MANZ-008,10.21.117.2,MANZANILLO
08-MINA-T.MINA-VVU-AXIS-Q6155-E-PTZ-PRESIDENCIA MINATITLAN-COL01-VVU-MINA-008,3,19.38629614,-104.0495021,COL01-VVU-MINA-008,10.21.155.26,MINATITLAN
08-TECO-T.TORRETECOC2-VVU-AXIS-Q6155-E-PTZ-AURRERA-COL01-VVU-TECO-008,3,18.92426953,-103.8830099,COL01-VVU-TECO-008,10.21.120.166,TECOMAN
08-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-LA RESERVA-COL01-VVU-VILL-008,3,19.266376,-103.770955,COL01-VVU-VILL-008,10.21.143.23,VILLA
09-ARME-T.ALCOMUN-VVU-AXIS-Q6155-E-PTZ-RINCON DE LOPEZ-COL01-VVU-ARME-009,2,19.0578976,-103.929469,COL01-VVU-ARME-009,10.21.168.14,ARMERIA
09-COLI-T.C5-VVU-AXIS-Q6155-E-PTZ-MARIA ISABEL-COL01-VVU-COLI-009,3,19.248132,-103.706232,COL01-VVU-COLI-009,10.21.142.14,COLIMA
09-COMA-T.CAMPO4-VVU-AXIS-Q6155-E-PTZ-NOGUERAS-COL01-VVU-COMA-009,3,19.323771,-103.740896,COL01-VVU-COMA-009,10.21.160.38,COMALA
09-COQU-T.COQUIMATLAN-VVU-AXIS-Q6155-E-PTZ-SECUNDARIA COL. EJIDAL-COL01-VVU-COQU-009,3,19.20205117,-103.806615,COL01-VVU-COQU-009,10.21.143.200,COQUIMATLAN
09-CUAU-T.PCCUAU-VVU-AXIS-Q6155-E-PTZ-BACHILLERATO NO. 13-COL01-VVU-CUAU-009,3,19.337271,-103.604648,COL01-VVU-CUAU-009,10.21.141.26,CUAUHTEMOC
09-MANZ-T.TORREC4-VVU-AXIS-Q6155-E-PTZ-NAUTILUS LA JOYA-COL01-VVU-MANZ-009,3,19.126717,-104.342354,COL01-VVU-MANZ-009,10.21.110.11,MANZANILLO
09-MINA-T.MINA-VVU-AXIS-Q6155-E-PTZ-SALIDA AL MIXCUATE-COL01-VVU-MINA-009,3,19.38602222,-104.0468556,COL01-VVU-MINA-009,10.21.155.23,MINATITLAN
09-TECO-T.TORRETECOC2-VVU-AXIS-Q6155-E-PTZ-TRIANGULITO TEC.-COL01-VVU-TECO-009,3,18.915426,-103.876864,COL01-VVU-TECO-009,10.21.120.160,TECOMAN
09-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-LLANTISIMO MARIA AHUMADA-COL01-VVU-VILL-009,3,19.270271,-103.732239,COL01-VVU-VILL-009,10.21.130.26,VILLA
10-ARME-T.ARMERIA-VVU-AXIS-Q6155-E-PTZ-UNIDAD DEPORTIVA ARMERIA-COL01-VVU-ARME-010,3,18.947157,-103.967343,COL01-VVU-ARME-010,10.21.145.20,ARMERIA
10-COLI-T.COMPADMIN-VVU-AXIS-Q6155-E-PTZ-CBTIS 19-COL01-VVU-COLI-010,3,19.246142,-103.703289,COL01-VVU-COLI-010,10.21.141.44,COLIMA
10-COMA-T.COMALA-VVU-AXIS-Q6155-E-PTZ-JARDIN COMALA-COL01-VVU-COMA-010,3,19.32265,-103.758332,COL01-VVU-COMA-010,10.21.160.29,COMALA
10-COQU-T.ALCOMUN-VVU-AXIS-Q6155-E-PTZ-ENTRADA A PUEBLO JUAREZ-COL01-VVU-COQU-010,3,19.16851,-103.926986,COL01-VVU-COQU-010,10.21.166.2,COQUIMATLAN
10-CUAU-T.LACUMBRE-VVU-AXIS-Q6155-E-PTZ-JARDIN EL TRAPICHE-COL01-VVU-CUAU-010,3,19.278276,-103.662322,COL01-VVU-CUAU-010,10.21.142.125,CUAUHTEMOC
10-MANZ-T.TORO-VVU-AXIS-Q6155-E-PTZ-VISTA DEL MAR-COL01-VVU-MANZ-010,3,19.137723,-104.349454,COL01-VVU-MANZ-010,10.21.117.5,MANZANILLO
10-MINA-T.CARB-VVU-AXIS-Q6155-E-PTZ-CRUCERO LA LOMA-COL01-VVU-MINA-010,1,19.47221337,-104.0421835,COL01-VVU-MINA-010,10.21.70.34,MINATITLAN
10-TECO-T.TORRETECOC2-VVU-AXIS-Q6155-E-PTZ-BACHILLERATOS DE LA U.D.C-COL01-VVU-TECO-010,3,18.92507666,-103.8811437,COL01-VVU-TECO-010,10.21.151.8,TECOMAN
10-VILL-T.VDA-VVU-AXIS-Q3708-PVE-PTZ-PUERTA DE HIERRO-COL01-VVU-VILL-010,3,19.257941,-103.762066,COL01-VVU-VILL-010,10.21.130.29,VILLA
 COL-T.C5-SERVIDOR VVU-HPe-HYPERVISOR-VIRTUAL-ARCHIVER02 -COL01-CMM-COLI-001,3,18.93439205,-103.9667265,COL01-VVU-ARME-011,10.21.145.17,ARMERIA
11-COLI-T.COMPADMIN-VVU-AXIS-Q6155-E-PTZ-EL DIEZMO-COL01-VVU-COLI-011,3,19.254225,-103.69626,COL01-VVU-COLI-011,10.21.141.50,COLIMA
11-COQU-T.COQUIMATLAN-VVU-AXIS-Q6155-E-PTZ-LIBRAMIENTO A LOS LIMONES-COL01-VVU-COQU-011,3,19.233217,-103.778445,COL01-VVU-COQU-011,10.21.143.206,COQUIMATLAN
11-CUAU-T.PCCUAU-VVU-AXIS-Q6155-E-PTZ-PRESIDENCIA CUAUHTEMOC-COL01-VVU-CUAU-011,3,19.32813,-103.60187,COL01-VVU-CUAU-011,10.21.141.32,CUAUHTEMOC
11-MANZ-T.TORO-VVU-AXIS-Q6155-E-PTZ-ENTRONQUE CHANDIABLO-COL01-VVU-MANZ-011,3,19.138228,-104.341519,COL01-VVU-MANZ-011,10.21.117.41,MANZANILLO
11-TECO-T.TORRETECOC2-VVU-AXIS-Q6155-E-PTZ-CBTIS-COL01-VVU-TECO-011,3,18.93125097,-103.8796184,COL01-VVU-TECO-011,10.21.151.41,TECOMAN
11-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-COMARCA-COL01-VVU-VILL-011,3,19.277756,-103.763497,COL01-VVU-VILL-011,10.21.143.32,VILLA
12-ARME-T.FIBRA-VVU-AXIS-Q6155-E-PTZ-JARDIN CUYUTLAN-COL01-VVU-ARME-012,2,18.919713,-104.0692568,COL01-VVU-ARME-012,10.21.132.2,ARMERIA
12-COLI-T.COMPADMIN-VVU-AXIS-Q6155-E-PTZ-HOSPITAL REGIONAL-COL01-VVU-COLI-012,3,19.258689,-103.689673,COL01-VVU-COLI-012,10.21.141.59,COLIMA
12-COMA-T.COMALA-VVU-AXIS-Q6155-E-PTZ-SALIDA A SUCHITLAN-COL01-VVU-COMA-012,3,19.33188,-103.751739,COL01-VVU-COMA-012,10.21.160.33,COMALA
12-COQU-T.COQUIMATLAN-VVU-AXIS-Q6155-E-PTZ-JARDIN LAS MORAS-COL01-VVU-COQU-012,3,19.194929,-103.809718,COL01-VVU-COQU-012,10.21.143.203,COQUIMATLAN
12-CUAU-T.PCCUAU-VVU-AXIS-Q6155-E-PTZ-ENTRADA A CUAUHTEMOC-COL01-VVU-CUAU-012,3,19.325448,-103.601882,COL01-VVU-CUAU-012,10.21.141.35,CUAUHTEMOC
12-MANZ-T.TORO-VVU-AXIS-Q6155-E-PTZ-VALLE PARAISO-COL01-VVU-MANZ-012,3,19.152518,-104.335912,COL01-VVU-MANZ-012,10.21.117.23,MANZANILLO
12-TECO-T.TORRETECOC2-VVU-AXIS-Q6155-E-PTZ-TACOS LA PULGUITA-COL01-VVU-TECO-012,3,18.92628876,-103.8752966,COL01-VVU-TECO-012,10.21.151.2,TECOMAN
12-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-KIOSKO ALAMEDA-COL01-VVU-VILL-012,3,19.247268,-103.753317,COL01-VVU-VILL-012,10.21.130.35,VILLA
13-COLI-T.COMPADMIN-VVU-AXIS-Q6155-E-PTZ-PUENTE ISENCO-COL01-VVU-COLI-013,3,19.256066,-103.682139,COL01-VVU-COLI-013,10.21.141.47,COLIMA
13-CUAU-T.MONTITLAN-VVU-AXIS-Q6155-E-PTZ-CRUCERO ALCARACES-COL01-VVU-CUAU-013,3,19.359205,-103.577304,COL01-VVU-CUAU-013,10.21.141.38,CUAUHTEMOC
13-MANZ-T.TORO-VVU-AXIS-Q6155-E-PTZ-ENTRADA LOS PATOS-COL01-VVU-MANZ-013,3,19.256066,-104.34261,COL01-VVU-MANZ-013,10.21.117.8,MANZANILLO
13-TECO-T.TORRETECOC2-VVU-AXIS-Q6155-E-PTZ-CRUZ ROJA-COL01-VVU-TECO-013,3,18.91887829,-103.8730318,COL01-VVU-TECO-013,10.21.120.163,TECOMAN
13-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-CENTENARIO TERCER ANILLO-COL01-VVU-VILL-013,3,19.26308669,-103.7568762,COL01-VVU-VILL-013,10.21.130.38,VILLA
14-COLI-T.COMPADMIN-VVU-AXIS-Q6155-E-PTZ-CARRETERA COLIMA GUADALAJARA COMPLEJO ADMVO-COL01-VVU-COLI-014,3,19.253128,-103.689456,COL01-VVU-COLI-014,10.21.141.71,COLIMA
14-CUAU-T.MONTITLAN-VVU-AXIS-Q6155-E-PTZ-FITOZOOSANITARIA-COL01-VVU-CUAU-014,3,19.35541,-103.565632,COL01-VVU-CUAU-014,10.21.141.41,CUAUHTEMOC
14-MANZ-T.TORO-VVU-AXIS-Q6155-E-PTZ-GTA LOS PATOS-COL01-VVU-MANZ-014,3,19.170119,-104.348254,COL01-VVU-MANZ-014,10.21.117.20,MANZANILLO
14-TECO-T.TORRESEMEFO-VVU-AXIS-Q6155-E-PTZ-SALIDA AL REAL CLUB DEPORTIVO TECOMENSE-COL01-VVU-TECO-014,3,18.890823,-103.891204,COL01-VVU-TECO-014,10.21.121.100,TECOMAN
14-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-UNIDAD DEP GUSTAVO VAZQUEZ-COL01-VVU-VILL-014,3,19.291768,-103.730026,COL01-VVU-VILL-014,10.21.143.41,VILLA
15-COLI-T.COMPADMIN-VVU-AXIS-Q6155-E-PTZ-SANDOVAL BRAVO-COL01-VVU-COLI-015,3,19.240285,-103.69485,COL01-VVU-COLI-015,10.21.141.53,COLIMA
15-MANZ-T.TORREC4-VVU-AXIS-Q6155-E-PTZ-BODEGA BIMBO-COL01-VVU-MANZ-015,3,19.132284,-104.334052,COL01-VVU-MANZ-015,10.21.110.23,MANZANILLO
15-TECO-T.TORRETECOC2-VVU-AXIS-Q6155-E-PTZ-SAN CRISTOBAL-COL01-VVU-TECO-015,3,18.92444552,-103.8702851,COL01-VVU-TECO-015,10.21.151.5,TECOMAN
15-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-LIBRAMIENTO A NOGUERAS-COL01-VVU-VILL-015,3,19.290344,-103.747966,COL01-VVU-VILL-015,10.21.143.44,VILLA
16-COLI-T.COMPADMIN-VVU-AXIS-Q6155-E-PTZ-CERESO-COL01-VVU-COLI-016,3,19.236678,-103.680527,COL01-VVU-COLI-016,10.21.141.56,COLIMA
16-MANZ-T.TORREC4-VVU-AXIS-Q6155-E-PTZ-VALLE ALTO-COL01-VVU-MANZ-016,3,19.13027,-104.338757,COL01-VVU-MANZ-016,10.21.110.14,MANZANILLO
16-TECO-T.TORRESEMEFO-VVU-AXIS-Q6155-E-PTZ-AVE MARIA-COL01-VVU-TECO-016,3,18.933872,-103.867692,COL01-VVU-TECO-016,10.21.121.44,TECOMAN
16-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-LOMA DORADA-COL01-VVU-VILL-016,3,19.289759,-103.73878,COL01-VVU-VILL-016,10.21.143.47,VILLA
17-COLI-T.LACUMBRE-VVU-AXIS-Q6155-E-PTZ-JARDIN DE LA ESTANCIA-COL01-VVU-COLI-017,3,19.233366,-103.679563,COL01-VVU-COLI-017,10.21.142.26,COLIMA
17-MANZ-T.TORREC4-VVU-AXIS-Q6155-E-PTZ-GASOLINERA ARBOLEDAS-COL01-VVU-MANZ-017,3,19.121651,-104.3398,COL01-VVU-MANZ-017,10.21.110.5,MANZANILLO
17-TECO-T.TORRETECOC2-VVU-AXIS-Q6155-E-PTZ-SECUNDARIA 20-COL01-VVU-TECO-017,3,18.91635001,-103.860453,COL01-VVU-TECO-017,10.21.120.172,TECOMAN
17-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-HUERTAS DEL CURA-COL01-VVU-VILL-017,3,19.255378,-103.735168,COL01-VVU-VILL-017,10.21.130.50,VILLA
18-COLI-T.COMPADMIN-VVU-AXIS-Q6155-E-PTZ-CRUCERO TEPAMES-COL01-VVU-COLI-018,3,19.17326,-103.661101,COL01-VVU-COLI-018,10.21.141.68,COLIMA
18-MANZ-T.TORREC4-VVU-AXIS-Q6155-E-PTZ-CRUCERO LAS HADAS-COL01-VVU-MANZ-018,3,19.113026,-104.341762,COL01-VVU-MANZ-018,10.21.110.71,MANZANILLO
18-TECO-T.TORRETECOC2-VVU-AXIS-Q6155-E-PTZ-LA CUARTA-COL01-VVU-TECO-018,2,18.91843778,-103.8541827,COL01-VVU-TECO-018,10.21.120.181,TECOMAN
18-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-JARDIN RAMON SERRANO-COL01-VVU-VILL-018,2,19.252906,-103.749709,COL01-VVU-VILL-018,10.21.130.53,VILLA
19-COLI-T.COMPADMIN-VVU-AXIS-Q6155-E-PTZ-PLAZA ZENTRALIA-COL01-VVU-COLI-019,3,19.267357,-103.700619,COL01-VVU-COLI-019,10.21.141.74,COLIMA
19-MANZ-T.TORREC4-VVU-AXIS-Q6155-E-PTZ-GTA LA AUDIENCIA-COL01-VVU-MANZ-019,3,19.108077,-104.347563,COL01-VVU-MANZ-019,10.21.110.74,MANZANILLO
19-TECO-T.TORRETECOC2-VVU-AXIS-Q6155-E-PTZ-DSP TECOMAN-COL01-VVU-TECO-019,3,18.91562604,-103.864677,COL01-VVU-TECO-019,10.21.120.175,TECOMAN
19-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-UNIDAD DEPORTIVA VDEA-COL01-VVU-VILL-019,3,19.268141,-103.742579,COL01-VVU-VILL-019,10.21.143.56,VILLA
20-COLI-T.COMPSEGU-VVU-AXIS-Q6155-E-PTZ-ENTRADA A MIRADORES-COL01-VVU-COLI-020,3,19.227398,-103.696991,COL01-VVU-COLI-020,10.21.142.41,COLIMA
20-MANZ-T.TORREC4-VVU-AXIS-Q6155-E-PTZ-SEMAFORO SALAHUA-COL01-VVU-MANZ-020,2,19.110371,-104.33773,COL01-VVU-MANZ-020,10.21.110.65,MANZANILLO
20-TECO-T.TORRETECOC2-VVU-AXIS-Q6155-E-PTZ-ZONA HABITACIONAL MILITAR-COL01-VVU-TECO-020,3,18.90994547,-103.8606085,COL01-VVU-TECO-020,10.21.151.14,TECOMAN
20-VILL-T.VDA-VVU-AXIS-Q6155-E-PTZ-KIOSKO TABACHINES-COL01-VVU-VILL-020,3,19.24282708,-103.7659819,COL01-VVU-VILL-020,10.21.130.59,VILLA
21-COLI-T.COMPSEGU-VVU-AXIS-Q6155-E-PTZ-REPUBLICA MEXICANA LA CUMBRE-COL01-VVU-COLI-021,3,19.223783,-103.696533,COL01-VVU-COLI-021,10.21.142.38,COLIMA
21-MANZ-T.TORREC4-VVU-AXIS-Q6155-E-PTZ-CECATY 34-COL01-VVU-MANZ-021,3,19.111973,-104.333459,COL01-VVU-MANZ-021,10.21.110.62,MANZANILLO
21-TECO-T.TORRETECOC2-VVU-AXIS-Q6155-E-PTZ-PERRITOS COLIMOTES-COL01-VVU-TECO-021,3,18.897432,-103.859236,COL01-VVU-TECO-021,10.21.151.17,TECOMAN
